Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Country,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,Delivery Status
ORD1000,2020-01-01,2020-01-08,Standard Class,CUST5000,Alice Smith,Consumer,West,Germany,Furniture,Phones,Standing Desk,8,0.25,491.06,137.2,Early
ORD1001,2020-01-02,2020-01-06,Same Day,CUST5001,John Doe,Corporate,South,USA,Technology,Phones,Notebook Binder,9,0.02,112.79,37.24,Delayed
ORD1002,2020-01-03,2020-01-11,Same Day,CUST5002,Emma Johnson,Home Office,Central,UK,Office Supplies,Accessories,Notebook Binder,8,0.39,220.95,2.38,Delayed
ORD1003,2020-01-04,2020-01-09,Standard Class,CUST5003,Robert Brown,Consumer,South,Mexico,Technology,Tables,Notebook Binder,1,0.28,488.58,-78.06,Delayed
ORD1004,2020-01-05,2020-01-12,Standard Class,CUST5004,Alice Smith,Corporate,South,USA,Technology,Binders,Smartphone,7,0.36,209.56,-41.67,On Time
ORD1005,2020-01-06,2020-01-09,Standard Class,CUST5005,John Doe,Consumer,Central,Canada,Technology,Phones,USB Drive,9,0.06,181.09,84.14,Early
ORD1006,2020-01-07,2020-01-14,First Class,CUST5006,Emma Johnson,Consumer,South,Mexico,Furniture,Accessories,Office Chair,5,0.36,63.84,16.62,On Time
ORD1007,2020-01-08,2020-01-16,First Class,CUST5007,John Doe,Home Office,East,Mexico,Office Supplies,Binders,Notebook Binder,2,0.21,379.11,-76.28,Early
ORD1008,2020-01-09,2020-01-14,Same Day,CUST5008,Alice Smith,Consumer,East,Canada,Technology,Tables,Office Chair,8,0.4,229.03,4.07,Early
ORD1009,2020-01-10,2020-01-14,First Class,CUST5009,John Doe,Consumer,South,Canada,Furniture,Binders,Notebook Binder,9,0.3,322.94,139.61,On Time
ORD1010,2020-01-11,2020-01-19,Second Class,CUST5010,Emma Johnson,Home Office,West,Canada,Technology,Tables,Standing Desk,7,0.18,259.83,53.92,On Time
ORD1011,2020-01-12,2020-01-20,Same Day,CUST5011,Alice Smith,Home Office,South,USA,Furniture,Phones,Office Chair,5,0.1,95.52,-17.41,Delayed
ORD1012,2020-01-13,2020-01-16,First Class,CUST5012,Emma Johnson,Home Office,West,USA,Office Supplies,Chairs,Smartphone,8,0.41,96.42,26.97,Early
ORD1013,2020-01-14,2020-01-20,Standard Class,CUST5013,John Doe,Home Office,South,USA,Office Supplies,Chairs,Notebook Binder,6,0.28,470.48,-8.09,Early
ORD1014,2020-01-15,2020-01-20,Second Class,CUST5014,Robert Brown,Corporate,East,Germany,Office Supplies,Storage,USB Drive,4,0.49,445.86,40.85,Early
ORD1015,2020-01-16,2020-01-18,Standard Class,CUST5015,Robert Brown,Corporate,West,Mexico,Office Supplies,Storage,Standing Desk,1,0.19,309.21,9.91,Delayed
ORD1016,2020-01-17,2020-01-25,Same Day,CUST5016,Robert Brown,Corporate,East,USA,Technology,Phones,Notebook Binder,6,0.34,10.61,2.98,Early
ORD1017,2020-01-18,2020-01-24,Standard Class,CUST5017,Robert Brown,Consumer,South,Germany,Furniture,Binders,Office Chair,8,0.31,222.31,-27.94,Early
ORD1018,2020-01-19,2020-01-21,First Class,CUST5018,Emma Johnson,Home Office,Central,Mexico,Office Supplies,Tables,Notebook Binder,3,0.32,269.91,2.89,On Time
ORD1019,2020-01-20,2020-01-25,First Class,CUST5019,,Home Office,West,USA,Technology,Chairs,Standing Desk,7,0.37,230.22,68.06,On Time
ORD1020,2020-01-21,2020-01-22,Same Day,CUST5020,Emma Johnson,Corporate,West,Canada,Office Supplies,Tables,USB Drive,7,0.07,463.47,122.28,Delayed
ORD1021,2020-01-22,2020-01-28,Standard Class,CUST5021,Alice Smith,Consumer,South,UK,Office Supplies,Phones,USB Drive,9,0.27,,-4.16,Early
ORD1022,2020-01-23,2020-02-01,Same Day,CUST5022,Robert Brown,Consumer,South,USA,Office Supplies,Binders,USB Drive,1,0.25,330.91,-6.44,Delayed
ORD1023,2020-01-24,2020-01-25,Standard Class,CUST5023,Emma Johnson,Consumer,West,UK,Furniture,Tables,Standing Desk,5,0.17,163.78,-47.25,On Time
ORD1024,2020-01-25,2020-01-28,Second Class,CUST5024,Robert Brown,Corporate,Central,USA,Furniture,Binders,Notebook Binder,8,0.22,284.14,35.27,Early
ORD1025,2020-01-26,2020-02-02,First Class,CUST5025,Robert Brown,Consumer,South,Canada,Furniture,Chairs,Standing Desk,3,0.26,331.4,-24.94,Early
ORD1026,2020-01-27,2020-01-31,Same Day,CUST5026,Robert Brown,Consumer,South,UK,Office Supplies,Tables,Standing Desk,5,0.16,226.0,-65.65,Delayed
ORD1027,2020-01-28,2020-02-06,Second Class,CUST5027,Emma Johnson,Consumer,South,Germany,Technology,Accessories,Notebook Binder,1,0.15,82.7,3.29,Early
ORD1028,2020-01-29,2020-02-01,Second Class,CUST5028,John Doe,Home Office,Central,Canada,Technology,Chairs,Smartphone,9,0.37,264.33,116.7,Early
ORD1029,2020-01-30,2020-02-04,Same Day,CUST5029,Robert Brown,Corporate,West,UK,Technology,Binders,USB Drive,4,0.03,467.15,204.95,On Time
ORD1030,2020-01-31,2020-02-03,Same Day,CUST5030,Robert Brown,Home Office,East,UK,Office Supplies,Phones,Office Chair,5,0.16,272.58,-0.63,Delayed
ORD1031,2020-02-01,2020-02-08,Second Class,CUST5031,Alice Smith,Home Office,South,Canada,Furniture,Accessories,Office Chair,3,0.33,70.24,4.17,On Time
ORD1032,2020-02-02,2020-02-07,Standard Class,CUST5032,John Doe,Corporate,Central,Canada,Technology,Storage,Notebook Binder,2,0.1,413.84,-43.81,Delayed
ORD1033,2020-02-03,2020-02-12,Second Class,CUST5033,Emma Johnson,Home Office,West,Canada,Office Supplies,Tables,Office Chair,7,0.29,118.65,-29.11,On Time
ORD1034,2020-02-04,2020-02-11,Same Day,CUST5034,Alice Smith,Consumer,West,Mexico,Office Supplies,Storage,Smartphone,5,0.15,191.41,48.84,Delayed
